x_mm,r_mm
3.0689,21.7505
3.5209,21.9360
3.9721,22.1209
4.4224,22.3051
4.8720,22.4887
5.3207,22.6717
5.7687,22.8541
6.2158,23.0358
6.6622,23.2170
7.1077,23.3974
7.5524,23.5773
7.9964,23.7565
8.4395,23.9352
8.8818,24.1131
9.3233,24.2905
9.7641,24.4672
10.2040,24.6433
10.6431,24.8188
11.0814,24.9937
11.5189,25.1679
11.9556,25.3415
12.3915,25.5145
12.8266,25.6869
13.2609,25.8586
13.6944,26.0297
14.1271,26.2002
14.5590,26.3700
14.9900,26.5392
15.4203,26.7078
15.8498,26.8758
16.2785,27.0431
16.7063,27.2099
17.1334,27.3760
17.5597,27.5414
17.9851,27.7063
18.4098,27.8705
18.8336,28.0341
19.2567,28.1970
19.6789,28.3594
20.1004,28.5211
20.5210,28.6822
20.9408,28.8427
21.3599,29.0025
21.7781,29.1617
22.1955,29.3203
22.6122,29.4782
23.0280,29.6356
23.4430,29.7923
23.8572,29.9484
24.2706,30.1038
24.6832,30.2586
25.0950,30.4129
25.5060,30.5664
25.9162,30.7194
26.3256,30.8717
26.7342,31.0234
27.1420,31.1745
27.5490,31.3249
27.9552,31.4748
28.3606,31.6239
28.7651,31.7725
29.1689,31.9205
29.5719,32.0678
29.9741,32.2145
30.3754,32.3605
30.7760,32.5060
31.1757,32.6508
31.5747,32.7950
31.9728,32.9386
32.3702,33.0815
32.7667,33.2238
33.1625,33.3655
33.5574,33.5066
33.9516,33.6470
34.3449,33.7868
34.7374,33.9260
35.1291,34.0645
35.5201,34.2025
35.9102,34.3398
36.2995,34.4765
36.6880,34.6125
37.0757,34.7479
37.4626,34.8827
37.8487,35.0169
38.2340,35.1505
38.6185,35.2834
39.0022,35.4157
39.3851,35.5474
39.7672,35.6784
40.1485,35.8088
40.5290,35.9386
40.9087,36.0678
41.2875,36.1963
41.6656,36.3243
42.0429,36.4516
42.4193,36.5782
42.7950,36.7043
43.1699,36.8297
43.5439,36.9545
43.9172,37.0786
44.2896,37.2022
44.6613,37.3251
45.0321,37.4474
45.4022,37.5690
45.7714,37.6901
46.1398,37.8105
46.5075,37.9303
46.8743,38.0494
47.2403,38.1679
47.6055,38.2858
47.9699,38.4031
48.3336,38.5198
48.6964,38.6358
49.0584,38.7512
49.4196,38.8660
49.7800,38.9801
50.1396,39.0937
50.4984,39.2066
50.8564,39.3188
51.2136,39.4305
51.5700,39.5415
51.9255,39.6519
52.2803,39.7617
52.6343,39.8708
52.9875,39.9793
53.3398,40.0872
53.6914,40.1945
54.0422,40.3011
54.3921,40.4071
54.7413,40.5125
55.0897,40.6173
55.4372,40.7214
55.7840,40.8249
56.1299,40.9278
56.4750,41.0301
56.8194,41.1317
57.1629,41.2327
57.5057,41.3331
57.8476,41.4328
58.1887,41.5320
58.5290,41.6305
58.8686,41.7283
59.2073,41.8256
59.5452,41.9222
59.8823,42.0182
60.2186,42.1136
60.5541,42.2084
60.8888,42.3025
61.2227,42.3960
61.5558,42.4888
61.8881,42.5811
62.2196,42.6727
62.5503,42.7637
62.8802,42.8541
63.2092,42.9438
63.5375,43.0329
63.8650,43.1214
64.1917,43.2093
64.5175,43.2965
64.8426,43.3831
65.1668,43.4691
65.4903,43.5545
65.8130,43.6392
66.1348,43.7233
66.4559,43.8068
66.7761,43.8897
67.0955,43.9719
67.4142,44.0535
67.7320,44.1345
68.0490,44.2148
68.3653,44.2946
68.6807,44.3737
68.9953,44.4521
69.3091,44.5300
69.6222,44.6072
69.9344,44.6838
70.2458,44.7598
70.5564,44.8351
70.8662,44.9099
71.1752,44.9840
